timeScraped,playersOnline
1637033092.508375,4
1637033122.6939874,4
1637033152.6581054,4
1637033182.745107,4
1637033212.7089438,4
1637033242.6739883,4
1637033272.7601748,4
1637033302.8469586,5
1637033332.9270232,5
1637033362.8993967,5
1637033392.9712205,5
1637033423.039099,5
1637033452.895585,5
1637033483.0833898,5
1637033513.052446,5
1637033543.1321082,5
1637033572.9883049,5
1637033603.1789622,5
1637033633.2401416,5
1637033663.2100174,5
1637033693.2881002,5
1637033723.2562528,5
1637033753.2401586,5
1637033783.3140633,5
1637033813.283252,5
1637033843.3652792,5
1637033873.4435637,5
1637033903.5171726,5
1637033933.491342,4
1637033963.456057,4
1637033993.5213683,5
1637034023.4915392,5
1637034053.5755665,5
1637034083.5363426,5
1637034113.6940706,5
1637034143.6644113,5
1637034173.7400703,4
1637034203.71193,4
1637034233.6772387,4
1637034263.7562165,4
1637034293.8361602,4
1637034323.9909778,4
1637034353.9587975,4
1637034384.0037415,4
1637034414.0873945,4
1637034444.0645707,4
1637034474.1443512,4
1637034504.0083141,4
1637034534.208593,4
1637034564.178863,4
1637034594.1535704,3
1637034624.1915786,3
1637034654.1603618,3
1637034684.3145158,3
1637034714.3963187,3
1637034744.3654563,3
1637034774.4465935,3
1637034804.408339,3
1637034834.4893112,3
1637034864.4293745,3
1637034894.6170554,3
1637034924.5802648,3
1637034954.5513926,3
1637034984.5183868,3
1637035014.596598,3
1637035044.6734605,3
1637035074.7264104,3
1637035104.803487,3
1637035134.7722824,3
1637035164.8482983,3
1637035194.9103382,3
1637035224.867307,3
1637035254.832435,3
1637035284.9115894,3
1637035314.9904044,3
1637035345.0693922,3
1637035375.0354831,3
1637035405.119242,3
1637035435.0817776,3
1637035465.1624405,3
1637035495.241463,3
1637035525.096552,3
1637035555.2874286,3
1637035585.2545485,3
1637035615.334431,3
1637035645.3017185,3
1637035675.2584417,3
1637035705.3346386,3
1637035735.3037238,3
1637035765.3825977,3
1637035795.4413266,3
1637035825.4082987,3
1637035855.605706,3
1637035885.5696967,3
1637035915.6484275,3
1637035945.6114159,3
1637035975.580684,3
1637036005.5538797,2
1637036035.627828,2
1637036065.8189518,1
1637036095.7847905,1
1637036125.753609,1
1637036155.8348136,2
1637036185.8956401,2
1637036215.9728277,2
1637036245.9448934,2
1637036276.0216103,2
1637036305.991664,2
1637036336.068652,2
1637036366.143717,2
1637036470.3311193,2
1637036500.4089575,2
1637036530.4747522,2
1637036560.4432998,2
1637036590.4149354,2
1637036620.4879417,2
1637036650.6148086,3
1637036680.5506692,3
1637036710.5200381,3
1637036740.5850756,4
1637036770.6743052,4
1637036800.7578964,4
1637036830.7250316,4
1637036860.694713,4
1637036890.861893,4
1637036920.7316236,4
1637036950.8005488,4
1637036980.7692611,3
1637037010.9750986,3
1637037040.9571137,4
1637037070.941486,4
1637037100.9289389,4
1637037130.98658,4
1637037161.0828116,3
1637037191.1611998,4
1637037221.2311172,4
1637037251.1921656,4
1637037281.2712994,3
1637037311.2402914,4
1637037341.3168836,4
1637037371.2846851,4
1637037401.4401586,4
1637037431.4032528,4
1637037461.361798,3
1637037491.3358285,3
1637037521.5186515,3
1637037551.4616914,4
1637037581.535131,4
1637037611.6146898,3
1637037641.6956189,3
1637037671.5240407,3
1637037701.6967943,2
1637037731.7729614,2
1637037761.7367032,2
1637037791.7068992,2
1637037821.7735493,2
1637037851.8467152,2
1637037881.92848,2
1637037911.7864876,1
1637037941.9595513,1
1637037972.0435576,1
1637038002.0025885,1
1637038032.0229678,1
1637038062.0866776,2
1637038092.1605191,2
1637038122.1304789,2
1637038152.0985382,2
1637038182.0644574,2
1637038212.2528486,2
1637038242.336723,2
1637038272.301563,2
1637038302.2773893,2
1637038332.2374933,2
1637038362.3182619,2
1637038392.2840612,2
1637038422.4787369,2
1637038452.5506501,2
1637038482.4136515,2
1637038512.4914403,2
1637038542.5653899,2
1637038572.6311388,2
1637038602.7082984,2
1637038632.6585526,2
1637038662.7425606,2
1637038692.707413,2
1637038722.7894716,2
1637038752.8620386,2
1637038782.8342233,2
1637038812.801372,1
1637038842.8797233,1
1637038872.9577365,1
1637038902.9273934,1
1637038933.021432,1
1637038962.992382,1
1637038993.0661185,1
1637039023.1471696,1
1637039053.007225,1
1637039083.0855362,1
1637039113.0513487,1
1637039143.242542,1
1637039173.2113938,1
1637039203.5447576,1
1637039234.1241837,1
1637039263.3833265,2
1637039293.3455172,1
1637039323.425067,1
1637039353.2863586,1
1637039383.3635623,1
1637039413.5344448,2
1637039443.5026162,2
1637039473.5803592,2
1637039503.6582472,2
1637039534.5922914,2
1637039564.1586764,2
1637039593.6785333,2
1637039623.6461854,2
1637039653.723408,2
1637039683.6901863,2
1637039713.8797731,2
1637039743.8464494,2
1637039773.9238,2
1637039803.8933666,2
1637039833.83431,1
1637039864.0514848,2
1637039893.9895568,2
1637039924.0867426,1
1637039953.9442143,2
1637039984.133145,2
1637040014.2107248,2
1637040044.1744318,2
1637040074.1333475,2
1637040104.3053014,2
1637040134.2673628,2
1637040164.2361374,2
1637040194.3991232,2
1637040224.2573335,2
1637040254.441327,2
1637040284.3175976,2
1637040314.3625405,3
1637040344.4433775,2
1637040374.5181625,2
1637040404.4726515,1
1637040434.644115,1
1637040464.6140754,1
1637040494.5642245,2
1637040524.7365456,1
1637040554.6741638,1
1637040584.7522595,1
1637040614.8362994,1
1637040644.800647,1
1637040674.8795147,1
1637040704.962379,1
1637040734.8154893,1
1637040765.002396,1
1637040794.9744496,1
1637040825.0532327,1
1637040855.1274695,1
1637040884.991516,1
1637040915.0642734,1
1637040945.0352237,1
1637040975.191132,2
1637041005.2767465,2
1637041035.2214084,2
1637041065.32156,2
1637041095.2873442,3
1637041125.318256,2
1637041155.3946161,2
1637041185.2743242,2
1637041215.458422,2
1637041245.320248,2
1637041275.5510848,3
1637041305.5072596,3
1637041335.472118,3
1637041365.5332944,2
1637041395.6510375,3
1637041425.5907407,3
1637041455.6334994,3
1637041485.7311287,3
1637041515.798177,3
1637041545.7517338,3
1637041575.831564,3
1637041605.894371,3
1637041635.81423,3
1637041665.7871182,3
1637041695.9723353,3
1637041725.8529232,3
1637041756.066322,3
1637041786.0390694,3
1637041816.086157,3
1637041846.1613173,3
1637041876.1303983,3
1637041906.2085142,3
1637041936.2677083,3
1637041966.2412786,3
1637041996.304315,3
1637042026.2682672,3
1637042056.3560805,3
1637042086.423151,3
1637042116.2832487,3
1637042146.4754426,3
1637042176.4457119,3
1637042206.5212295,3
1637042236.3980687,3
1637042266.584399,3
1637042296.5496013,3
1637042326.6312242,3
1637042356.7132282,3
1637042386.6761932,3
1637042416.6456704,3
1637042446.6144402,3
1637042476.79965,3
1637042506.7692297,3
1637042536.8513105,3
1637042566.9096444,3
1637042596.7682173,3
1637042626.9621954,3
1637042657.034128,3
1637042686.9864333,3
1637042717.0573046,3
1637042746.909429,3
1637042776.9899268,3
1637042807.1792963,3
1637042837.1479397,3
1637042867.2225718,3
1637042897.0851307,3
1637042927.2562203,3
1637042957.2271059,3
1637042987.1943955,3
1637043017.377996,3
1637043047.3451385,3
1637043077.4250553,3
1637043107.394238,3
1637043137.3509436,3
1637043167.5363085,3
1637043197.6136615,3
1637043227.5809422,2
1637043257.550216,2
1637043287.520054,2
1637043317.5990753,2
1637043347.573203,2
1637043377.7562788,2
1637043407.7251532,2
1637043437.8022978,2
1637043467.778228,2
1637043497.9255128,3
1637043527.8931873,3
1637043557.8772976,3
1637043587.8460124,3
1637043617.8949702,3
1637043648.0851452,2
1637043677.9261324,2
1637043708.0060847,2
1637043738.0813034,2
1637043768.0499303,2
1637043798.2372954,2
1637043828.2051637,2
1637043858.2948725,2
1637043888.1452043,3
1637043918.351185,3
1637043948.319095,2
1637043978.3969665,2
1637044008.3651931,2
1637044038.4280992,2
1637044068.5083132,2
1637044098.4549913,2
1637044128.5211232,2
1637044158.598055,2
1637044188.5651844,2
1637044218.6480072,2
1637044248.7264178,2
1637044278.69222,2
1637044308.7700157,2
1637044338.7993014,2
1637044368.7734008,2
1637044398.8509924,2
1637044428.8201818,2
1637044458.7930143,2
1637044488.8639727,2
1637044518.944109,2
1637044549.0231209,2
1637044578.9881349,2
1637044608.960427,2
1637044638.9275172,2
1637044669.0050607,2
1637044699.1899667,2
1637044729.1579683,2
1637044759.2099502,3
1637044789.1741436,3
1637044819.1422815,3
1637044849.3300285,3
1637044879.3023982,3
1637044909.412007,3
1637044939.3651474,3
1637044969.4441793,3
1637044999.5066524,3
1637045029.3514555,2
1637045059.4232986,2
1637045089.5075293,2
1637045119.565315,2
1637045149.646228,2
1637045179.612353,2
1637045209.692952,2
1637045239.7720656,2
1637045269.7379963,2
1637045299.8141398,2
1637045329.8719697,2
1637045359.8330727,2
1637045389.9108815,2
1637045419.8769214,2
1637045449.9452415,2
1637045480.0075812,2
1637045509.974454,2
1637045540.047949,2
1637045570.1267266,2
1637045600.0969326,2
1637045630.0649161,2
1637045660.033859,2
1637045690.110899,2
1637045720.1897368,2
1637045750.159976,2
1637045780.237989,2
1637045810.3180199,2
1637045840.2689924,2
1637045870.410346,3
1637045900.382969,2
1637045930.460882,2
1637045960.5171034,2
1637045990.4903514,2
1637046020.5699515,2
1637046050.5260441,2
1637046080.5830803,3
1637046110.5418568,3
1637046140.728078,1
1637046170.752118,2
1637046200.7053535,2
1637046230.783161,2
1637046260.756914,2
1637046290.834344,2
1637046320.788075,2
1637046350.7529998,2
1637046380.9266782,2
1637046410.9920917,2
1637046441.0683749,2
1637046471.036458,2
1637046501.1120963,2
1637046530.9719675,2
1637046561.145935,2
1637046591.2260413,2
1637046621.1922219,2
1637046651.1631148,2
1637046681.1311252,2
1637046711.3169699,2
1637046741.3642378,2
1637046771.3359761,2
1637046801.4119902,2
1637046831.382179,2
1637046861.3462508,2
1637046891.4258637,2
1637046921.3960674,2
1637046951.4743633,2
1637046981.5510526,2
1637047011.6301422,2
1637047041.5979924,2
1637047071.5682294,2
1637047101.7570882,2
1637047131.6172109,2
1637047161.8041048,2
1637047191.6639197,2
1637047221.7379732,2
1637047251.7054124,2
1637047281.7853167,2
1637047311.754847,2
1637047341.9393303,2
1637047372.0208733,2
1637047401.9895484,2
1637047432.0692775,2
1637047462.035106,2
1637047492.0030549,2
1637047521.9730933,2
1637047552.0499678,2
1637047582.1589274,2
1637047612.3422072,2
1637047672.2993817,1
1637047702.3731647,1
1637047732.347518,1
1637047762.2872334,1
